site,pubs,lat,lon,type,files
Argentine Islands,8,-65.25,-64.2833333,Island,SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2019_10.1017_s0954102019000452|openalex_antarctic_science_2025_10.1017_s0954102025100394
Anvers Island,8,-64.5833333,-63.5,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2017_10.1017_s095410201700013x
Vega Island,8,-63.8333333,-57.3666667,Island,SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2017_10.1017_s0954102017000050|openalex_antarctic_science_2017_10.1017_s0954102017000116|openalex_antarctic_science_2020_10.1017_s0954102020000504
Wright Valley,8,-77.5166667,161.8333333,Valley,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2019_10.1017_s0954102019000129|openalex_antarctic_science_2020_10.1017_s0954102020000139
Barton Peninsula,8,-62.2266111,-58.7412778,Peninsula,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_polar_record_2019_10.1017_s0032247419000469
Greenwich Island,8,-62.5,-59.783,Island,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_advances_polar_sci_2015_10.13679_j.advps.2015.1.00107|openalex_advances_polar_sci_2015_W2911944979
Lambert Glacier,8,-73.0653,67.4898,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2011_10.1017_s0954102011000630|openalex_antarctic_science_2012_10.1017_s0954102011000897
Lützow-Holm Bay,8,-69.1666667,37.5,Bay,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_polar_science_2018_10.1016_j.polar.2018.11.010
Ecology Glacier,8,-62.175,-58.4666667,Glacier,POLAR2018_abstracts|SCAR_OSC_2012_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|SCAR_OSC_2024_Pucon_abstracts|openalex_antarctic_science_2018_10.1017_s095410201800024x
Rauer Group,8,-68.85,77.83330556,Island,Geosite_GF1_Shcherbinina_Layered_Complex|Geosite_GF1_Torckler-Tang|POLAR2018_abstracts|SCAR_OSC_2014_COMNAP_abstracts|SCAR_OSC_2016_abstracts|SCAR_OSC_2020_abstracts|SCAR_OSC_2022_abstracts|openalex_polar_science_2023_10.1016_j.polar.2023.101015
